year	sex	occupation	people	score	sei
1860	1	Agent	4610	36	68
1860	1	Apprentice	22765	20	35
1860	1	Apprentice - Bricklayer	1204	25	32
1860	1	Apprentice - Carpenter	6818	20	31
1860	1	Apprentice - Construction	3408	21	29
1860	1	Apprentice - Machinist	2612	24	41
1860	1	Apprentice - Mechanic	1003	25	34
1860	1	Apprentice - Metal Working	13251	23	33
1860	1	Apprentice - Plumber	1004	25	33
1860	1	Apprentice - Printing	2005	23	40
1860	1	Architect	1707	54	90
1860	1	Artist / Art Teacher	5024	31	67
1860	1	Athlete	100	23	52
1860	1	Auctioneer	1908	30	40
1860	1	Author	301	33	76
1860	1	Baggageman	1509	30	25
1860	1	Baker	17661	28	22
1860	1	Bank Teller	1004	26	52
1860	1	Barber / Beautician	8928	19	17
1860	1	Bartender	9528	25	19
1860	1	Bill Collector	2311	26	39
1860	1	Blacksmith	111164	25	16
1860	1	Boarding House Keeper	4819	7	30
1860	1	Boatman	22671	30	24
1860	1	Boilermaker	3917	34	39
1860	1	Bookbinder	3410	25	33
1860	1	Bookkeeper	16847	22	51
1860	1	Bootblack	202	14	8
1860	1	Building Manager	2909	20	32
1860	1	Bus Driver	4514	30	24
1860	1	Buyer - Farm	4919	26	33
1860	1	Buyer - Store	100	42	72
1860	1	Cabinet Maker	35416	26	23
1860	1	Carpenter	273528	24	19
1860	1	Cashier	600	18	44
1860	1	Cement / Concrete Finisher	101	27	19
1860	1	Chemist	301	40	79
1860	1	Clergyman	35220	24	52
1860	1	Clerical Worker	8431	25	44
1860	1	College President / Dean	101	41	84
1860	1	Constable	4715	24	21
1860	1	Cook	6928	16	15
1860	1	Craftsman	78049	32	32
1860	1	Crossing Guard / Toll Collector	1604	26	17
1860	1	Dancer / Dance Teacher	300	16	45
1860	1	Delivery Man	2109	27	32
1860	1	Dentist	5720	63	96
1860	1	Designer	101	38	73
1860	1	Disabled	2512	0	0
1860	1	Draftsman	302	34	67
1860	1	Dressmaker / Seamstress	1910	12	23
1860	1	Dyer	2715	25	12
1860	1	Editor / Reporter	3611	39	82
1860	1	Electrotyper	100	47	55
1860	1	Engineer - Civil	2507	46	84
1860	1	Engineer - Mechanical	300	46	82
1860	1	Engineer - Mining	100	48	85
